Location,Classmarks
Top Floor Front Left,HF
Top Floor Front Left,"E,F"
Top Floor Back Right,PS
Middle Floor,CC
Top Floor Back Left,N
Top Floor Front Right,QB
Top Floor Front Right,"QP,RB"
Top Floor Front Right,QH
Top Floor Front Right,"QR,RB"
Top Floor Front Right,"QK,S"
Middle Floor,DA
Top Floor Front Left,"HD,HE,HF"
Top Floor Front Right,QD
Top Floor Back Right,PL
Top Floor Front Right,"QA,TK"
Top Floor Front Right,RC
Top Floor Back Left,HV
Top Floor Front Right,QH
Top Floor Front Left,"HA,HB,HC,HD,HE,HF,HJ"
Top Floor Back Left,L
Top Floor Back Right,PE
Top Floor Back Right,PR
Top Floor Front Left,"GE,GF"
Top Floor Back Right,PN
Top Floor Front Left,"HG,HH,HI,HJ"
Top Floor Back Left,HV
Top Floor Back Right,PC
Top Floor Front Left,"G,GA,GB,GC,GD,GE,GF"
Top Floor Front Right,QE
Top Floor Back Right,PF
Middle Floor,D
Top Floor Front Right,"QM,QN,QO,QP,QR"
Top Floor Front Left,"HD,HE,HF"
Ground Floor,JX
Ground Floor,JZ
Top Floor Back Right,PC
Top Floor Back Right,PL
Ground Floor,K
Top Floor Front Left,"HD,HE,HF"
Top Floor Front Right,QA
Top Floor Back Right,P
Top Floor Front Right,QP
Top Floor Front Right,R
Top Floor Front Right,"RA,RB,RC"
Top Floor Front Right,RC
Top Floor Front Right,RI
Top Floor Front Right,RM
Top Floor Front Right,RS
Middle Floor,"B,BA,BB,BC,BD,BE,BF,BG,BH,BI"
Top Floor Front Right,QC
Top Floor Front Right,QP
Top Floor Front Right,RM
Top Floor Back Left,"J,JA,JB,JC,JD,JE,JF,JG,JH,JI,JJ,JK,JL,JM,JN,JO,JP,JQ,JR,JS,JT,JU,JV,JW"
Middle Floor,BF
Top Floor Front Right,RC
Middle Floor,"BL,BM,BN,BO,BP,BQ,BR,BS,BT,BU,BV,BW,BX"
Top Floor Back Right,PG
Top Floor Back Left,HV
Top Floor Back Left,"HN,HO,HP,HQ,HR,HS,HT"
Top Floor Back Right,PC
Top Floor Front Right,SF
